Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
P19_hns,pass,pass,1.5222,570,141,374.4580213,92.62908948
P19_hns,pass,pass,1.6043,1102,129,686.9039456,80.40890108
P19_hns,pass,pass,1.5581,1113,122,714.3315577,78.30049419
P19_hns,pass,pass,1.5001,1134,101,755.9496034,67.32884474
P19_hns,pass,pass,1.4249,1648,105,1156.572391,73.68938171
P19_hns,pass,pass,1.311,1167,118,890.1601831,90.00762777
P19_hns,pass,pass,1.4502,1455,107,1003.309888,73.78292649
P19_hns,pass,pass,1.3112,2730,96,2082.062233,73.21537523
P20_dh5a,pass,pass,1.3497,471,810,348.966437,600.133363
P20_dh5a,pass,pass,1.4502,385,981,265.4806234,676.4584195
P20_dh5a,pass,pass,1.4677,513,939,349.52647,639.7765211
P20_dh5a,pass,pass,1.4581,370,1074,253.7548865,736.5749949
P20_dh5a,pass,pass,1.4134,420,850,297.1557945,601.386727
P20_dh5a,pass,pass,1.4637,2185,702,1492.792239,479.6064767
P20_dh5a,pass,pass,1.5253,411,1041,269.4551891,682.4886907
P20_dh5a,pass,pass,1.5125,255,840,168.5950413,555.3719008
P20_dh5a,pass,pass,1.5492,557,1076,359.540408,694.5520269
P20_dh5a,pass,pass,1.4669,567,621,386.5294158,423.3417411
P20_dh5a,pass,pass,1.5172,827,684,545.0830477,450.8304772
P20_dh5a,pass,pass,1.509,923,607,611.6633532,402.2531478
P20_hns,pass,pass,1.4321,1893,537,1321.835067,374.9738147
P20_hns,pass,pass,1.3945,2211,552,1585.514521,395.8408032
P20_hns,pass,pass,1.4617,1719,543,1176.027913,371.4852569
P20_hns,pass,pass,1.5658,1879,831,1200.025546,530.7191212
P20_hns,pass,pass,1.5348,2156,741,1404.743289,482.7990618
P20_hns,pass,pass,1.5395,2011,698,1306.268269,453.3939591
P20_hns,pass,pass,1.5755,1687,882,1070.771184,559.8222786
P20_hns,pass,pass,1.4913,2815,592,1887.614833,396.9690874
P20_hns,pass,pass,1.4039,3965,398,2824.275233,283.4959755
P20_hns,pass,pass,1.4303,2046,511,1430.469132,357.2677061
P20_hns,pass,pass,1.3844,3029,393,2187.951459,283.8774921
P20_hns,pass,pass,1.5079,3040,622,2016.04881,412.4941972
P21_dh5a,pass,pass,1.4877,108,123,72.59528131,82.67795927
P21_dh5a,pass,pass,1.6011,92,127,57.46049591,79.32046718
P21_dh5a,pass,pass,1.587,98,125,61.75173283,78.76496534
P21_dh5a,pass,pass,1.5483,90,113,58.12826972,72.98327198
P21_dh5a,pass,pass,1.6317,93,113,56.99577128,69.2529264
P21_dh5a,pass,pass,1.6001,79,111,49.37191426,69.37066433
P21_dh5a,pass,pass,1.6005,90,120,56.23242737,74.97656982
